id,dimension,text,reverse_scored,weight,intents
Q01,values_roles,爱人和我都喜欢同一类社会活动。,false,1.0,其他
Q02,communication,与配偶交谈是一件轻松愉快的事。,false,1.0,沟通质量
Q03,values_roles,我爱人与孩子在一起的时间太少。,true,1.0,其他
Q04,values_roles,我配偶对我很宽容或迁就。,false,1.0,其他
Q05,values_roles,我完全满意配偶对我的感情。,false,1.0,其他
Q06,values_roles,我们总是试图寻找解决矛盾的最佳方法。,false,1.0,其他
Q07,values_roles,我不喜欢配偶的性格和习惯。,true,1.0,亲密;兴趣与习惯;性沟通
Q08,intimacy,我们常试用些新方法提高性乐趣。,false,1.0,亲密;性沟通
Q09,values_roles,我有时希望配偶别乱花钱。,true,1.0,财务管理
Q10,values_roles,我的配偶试乎缺少时间和精力与我一起娱乐。,true,1.0,其他
Q11,values_roles,我宁愿去与别人聊天，也不愿意独自呆在家里。,true,1.0,其他
Q12,values_roles,我非常满意双方在婚姻中承担的责任。,false,1.0,价值观与角色
Q13,values_roles,我和配偶对怎样花钱的意见比较一致。,false,1.0,财务管理
Q14,parenting,我很满意我们对抚养子女的责任分工。,false,1.0,价值观与角色;子女教育;育儿分工
Q15,values_roles,共同的生活态度有助于我们的关系发展。,false,1.0,价值观与角色
Q16,values_roles,我对配偶承担家务感到满意。,false,1.0,价值观与角色
Q17,intimacy,我担心配偶可能在性方面对我不感兴趣。,true,1.0,亲密;兴趣与习惯;性沟通
Q18,values_roles,我们为亲友花费的时间很恰当。,false,1.0,其他
Q19,values_roles,对配偶兴趣或爱好过少，我很在意。,true,1.0,兴趣与习惯
Q20,values_roles,我在家里未受到应有的尊重。,true,1.0,其他
Q21,values_roles,我不喜欢配偶的某些生活习惯（吸烟、饮酒、不讲卫生等）。,true,1.0,兴趣与习惯
Q22,communication,我们夫妻之间缺乏交流和相互理解。,true,1.0,沟通质量
Q23,values_roles,我们家业余时间安排得很合理。,false,1.0,社交与支持
Q24,parenting,在管教子女方面，配偶和我意见一致。,false,1.0,子女教育;育儿分工
Q25,conflict,我不满意配偶解决冲突的方式。,true,1.0,冲突管理;问题解决
Q26,values_roles,我们夫妻的性格比较合得来。,false,1.0,亲密;性沟通
Q27,values_roles,对于家庭应存在多少钱的决定，我感到满意。,false,1.0,财务管理
Q28,conflict,我配偶常以攻击或要挟的方式来解决冲突。,true,1.0,冲突管理;问题解决
Q29,conflict,我的配偶有时发表一些贬低的意见。,true,1.0,其他
Q30,intimacy,于配偶谈论性问题，对我说是很容易和轻松的。,true,1.0,亲密;性沟通
Q31,values_roles,我们对谁管家没有意见分歧。,true,1.0,财务管理
Q32,values_roles,我有时为配偶在社交场合的行为感到不安。,true,1.0,社交与支持
Q33,values_roles,我们都知道我们所欠的债务，而且它不成问题。,true,1.0,财务管理
Q34,values_roles,我们有共同的家庭观念和生活态度。,false,1.0,价值观与角色
Q35,intimacy,我有时担心配偶会有寻求婚外性关系的想法。,true,1.0,亲密;信任/边界;性沟通
Q36,values_roles,我认为配偶与他家里关系过于密切。,true,1.0,其他
Q37,parenting,子女似乎是我们婚姻矛盾的一个主要来源。,true,1.0,子女教育;育儿分工
Q38,values_roles,我们对生男生女的态度较一致。,false,1.0,其他
Q39,values_roles,我们按经济实力有规律地花钱。,false,1.0,财务管理
Q40,values_roles,我不满意我在家庭中的地位。,true,1.0,价值观与角色
Q41,values_roles,我非常满意我们一起度过的业余时间。,false,1.0,社交与支持
Q42,communication,我能向配偶坦然地表达我的真实需要。,false,1.0,沟通质量
Q43,values_roles,我对配偶重工作轻家庭感到不满。,false,1.0,其他
Q44,values_roles,我们夫妻在人生观方面有较大的差异。,false,1.0,价值观与角色
Q45,values_roles,与亲戚在一起，我感到不愉快。,true,1.0,社交与支持
Q46,conflict,发生冲突后，我和配偶常主动认错、化解矛盾。,false,1.0,冲突管理;问题解决
Q47,values_roles,我讨厌自己在家庭中充当的角色。,false,1.0,价值观与角色
Q48,conflict,我的配偶有时太固执。,true,1.0,其他
Q49,values_roles,我很乐意与配偶一起谈论人生和未来。,false,1.0,其他
Q50,communication,我希望配偶与我分享他的感受。,false,1.0,沟通质量
Q51,values_roles,孩子使我们的婚姻关系更密切。,false,1.0,其他
Q52,values_roles,配偶喜欢我所有的朋友。,false,1.0,社交与支持
Q53,values_roles,我不愿意对配偶表现出很温柔和主动。,true,1.0,其他
Q54,values_roles,我感到夫妻双方在一起生活的时间太少。,true,1.0,其他
Q55,trust,我很难相信配偶告诉我的每一件事。,true,1.0,信任/边界
Q56,conflict,我尽量避免与配偶发生冲突。,true,1.0,冲突管理;问题解决
Q57,values_roles,我觉得我们的婚姻受到传统观念影响。,false,1.0,价值观与角色
Q58,values_roles,我们在资助亲友方面常意见一致。,false,1.0,其他
Q59,values_roles,我不喜欢配偶做事拖拉。,true,1.0,其他
Q60,conflict,冲突过后常有一段很长时间的冷战期。,true,1.0,冲突管理;问题解决
Q61,values_roles,我觉得我们夫妻在家庭中的地位是平等的。,false,1.0,价值观与角色
Q62,intimacy,我很满意我们的情感交流和性生活。,false,1.0,亲密;性沟通;沟通质量
Q63,communication,我们开诚布公地交流感受、化解分歧。,false,1.0,沟通质量
Q64,values_roles,我配偶在经济安排上不征求我的意见。,true,1.0,财务管理
Q65,values_roles,我的配偶与朋友在一起的时间太多。,true,1.0,社交与支持
Q66,parenting,我们对子女教育方面有不同的意见。,true,1.0,子女教育;育儿分工
Q67,parenting,我配偶未尽到做父母的责任。,true,1.0,价值观与角色;子女教育;育儿分工
Q68,values_roles,爱配偶，使我更深刻地体会到家的温暖。,false,1.0,其他
Q69,communication,我非常满意夫妻之间相互谈话的方式。,false,1.0,沟通质量
Q70,values_roles,我觉得亲戚对我们婚姻干涉太多。,true,1.0,社交与支持
Q71,values_roles,自从有了孩子，夫妻很少有时间单独在一起。,true,1.0,其他
Q72,values_roles,配偶的喜怒无常使我感到束手无策。,true,1.0,其他
Q73,values_roles,我经常感到配偶没有认真对待我们的分歧。,true,1.0,其他
Q74,values_roles,在我们家里各人有相对的自由权。,false,1.0,价值观与角色
Q75,values_roles,我经常不知道配偶烦人真实想法和需要。,true,1.0,其他
Q76,values_roles,我不满意配偶与双方亲友的关系。,true,1.0,其他
Q77,values_roles,我和配偶对现代的婚姻家庭观念有不同看法。,false,1.0,价值观与角色
Q78,values_roles,我确实很高兴与配偶所有的朋友来往。,false,1.0,社交与支持
Q79,values_roles,因为我们的共同信仰，我和配偶觉得很亲密。,false,1.0,价值观与角色
Q80,trust,在重要问题上，我相信和接受配偶的判断。,true,1.0,信任/边界
Q81,trust,我不在意配偶与异性朋友在一起。,true,1.0,亲密;信任/边界;性沟通;社交与支持
Q82,communication,我说话时，配偶总是认真听着。,false,1.0,沟通质量
Q83,values_roles,我很在意谁管钱。,true,1.0,财务管理
Q84,intimacy,配偶用不公平的方式要求或拒绝性生活。,true,1.0,亲密;性沟通
Q85,conflict,当发生误解时，我们通常不听对方解释。,true,1.0,冲突管理;问题解决
Q86,values_roles,我们能互相接受对方的价值观和生活态度。,false,1.0,价值观与角色
Q87,values_roles,我不介意我配偶有时单独外出。,true,1.0,其他
Q88,values_roles,我有时觉得配偶太窝囊。,false,1.0,其他
Q89,intimacy,我对性生活的频度和方式感到很满意。,false,1.0,亲密;性沟通
Q90,values_roles,与配偶参加社交活动，我很少感到压力。,false,1.0,社交与支持
